제번,고객사,설계,제작처,품명,제품,제품종류,금형사이즈,재질,자재사이즈,제품사이즈,구조,SET,공정
TK22046,왈톤,피엔디,두레테크,"(600S)
LOWER HINGE",,냉장고,1560 X 680 X 530,CR MS,292(W) X 92(P) X 4.0T,69.4 X 122.5 X 14,PRO,1,PRO
TK22047,왈톤,피엔디,텝텍비나,"(600S)
UPPER HINGE",,냉장고,1150 X 700 X 530,CR MS,298(W) X 60(P) X 3.0T,138.9 X 40 X 9.2,PRO,1,PRO
TK22048,왈톤,준송테크,자사,"(910)
 PC DUCT COVER FRONT",,냉장고,"1050 X 820 X 530 (10,20)
1050 X 760 X 530 (30)
1100 X 820 X 530 (40)",ANODIZED ALUMINUM,665 X 500 X 0.5T,458 X 646.9 X 42.3,단발 4공정,4,NOTCH * NOTCH * BURR * FL-BEND
TK22049,왈톤,티피에스,텝텍비나,"(910) 
GLASS SHELF MIDDLE RAIL",,냉장고,1580 X 860 X 530,MS,480(W) X 55(P) X 2.5T,380 X 25 X 13,PRO,1,PRO
TK22050,왈톤,티피에스,텝텍비나,"(910)
 GLASS SHELF SIDE RAIL-LH",,냉장고,1580 X 760 X 530,MS,393(W) X 81(P) X 2.5T,339.6 X 56.5 X 28.2,PRO,1,PRO
TK22051,왈톤,티피에스,텝텍비나,"(910)
 GLASS SHELF SIDE RAIL-RH",,냉장고,1580 X 760 X 530,MS,393(W) X 81(P) X 2.5T,339.6 X 56.5 X 28.2,PRO,1,PRO
TK22052,왈톤,티피에스,두레테크,"(910) 
UPPER HINGE LH_RH",,냉장고,1580 X 700 X 530,CR/MS,337(W) X 105(P) X 3.0T,151.4 X 90.3 X 23 ,PRO,1,PRO
TK22053,왈톤,티피에스,텝텍비나,"(910)
 FDR UPPER BRACKET",,냉장고,"1940 X 460 X 530 (10)
1500 X 460 X 530 (20,30)
1590 X 430 X 530 (40)",CR/MS,1130 X 87.7 X 2.0T,903 X 75 X 107,단발 4공정,4,"NOTCH / PIERC * NOTCH / BEND *
BEND / BURR / EMBO * BEND"
TK22054,디엘통상,,,"(SW68) 
LOWER CROSS PLATE",,냉장고,,,,,,,23년 이관
TK22055,디엘통상, ,,"(SW68) 
CABINET FRONT",,냉장고,,,,,,,23년 이관
TK22056,디엘통상, ,,"(SW68)
 CROSS UPPER FRAME",,냉장고,,,,,,,23년 이관
TK22057,디엘통상, ,,"(B3) 
DRUM REAR_OP20,OP30",,냉장고,,,,,,,제번 삭제
TK22058,디엘통상, ,,"(B2)
 DRUM FRONT_OP20,OP30",,냉장고,,,,,,,제번 삭제
TK22059,디엘통상,티피에스,텝텍비나,"(SBS)
 DOWN HINGE BRACKET",,냉장고,2100 X 900 X 600,,404(W) X 122(P) X 5.0T,88 X 174 X 12,PRO,1,PRO
TK22060,디엘통상,준송테크,자사,"(S10) 
MIDDLE CROSS PLATE",,냉장고,1410 X 1280 X 600,ST12 or DC01,878(W) X 113(P) X 1.0T,832.6 X 55 X 18.8,PRO,1,PRO
TK22061,디엘통상,티피에스,텝텍비나,"(S10)
 LOWER CROSS PLATE",,냉장고,"1200 X 410 X 380 (10)
1160 X 410 X 380 (20,40)
1130 X 410 X 380 (30)",ST12 or DC01,856 X 114 X 0.5T,836.5 X 38.5 X 20.2,단발 4공정,4,NOTCH / PIERC * BEND * BEND * BEND
TK22062,디엘통상,,,"(S13)
 MIDDLE CROSS PLATE",,냉장고,,,,,,,제번 삭제
TK22063,디엘통상,,,"(S13)
 LOWER CROSS PLATE",,냉장고,,,,,,,제번 삭제
TK22064,디엘통상,티피에스,텝텍비나,"(SR22) 
LOWER CROSS PLATE",,냉장고,"1160 X 410 X 380 (10)
1090 X 410 X 380 (20,30)
1060 X 410 X 380 (40)",ST12 or DC01,813 X 99 X 0.6T,795.4 x 38.5 x 13.8,단발 4공정,4,NOTCH / PIERC * BEND * BEND * BEND
TK22065,하남전기,티피에스,자사,"(Q-MOTOR)
 CORE STATOR CLUTCH/CLUTCH",,냉장고,2350 X 600 X 600,SECC,235(W) X 232(P) X 1.0T,209 X 209 X 7.5,PRO,1,PRO
TK22066,하남전기,준송테크,자사,"(Q-MOTOR) 
YOKE RING",,냉장고,800 X 1020 X 450,SGCD,640(W) X 35(P) X 0.5T,142.7 X 16 X 35.5,PRO,1,PRO
TK22067,코스,자사,자사,"(F9) 
COVER DIS MUFFLER",,냉장고,690 X 490 X 440,PO-SPHC,80(W) X 40(P) X 3.6T,35.2 X 35.2 X 5.4,PRO,1,PRO
TK22068,인아,티피에스,자사,REIN DR CAP,,냉장고,370 X 1050 X 475,SPCC,,"685 X 13 X 7
615 X 13 X 7",PRO,1,PRO
TK22069,기린,티피에스,자사,BOWL BLANKING,,냉장고,2650 X 1710 X 650,,1260(W) X 675(P) X 1.0T,670 X 670 X 1.0,PRO,1,PRO
TK22070,코스,자사,자사,"(M7)
 COVER DIS MUFFLER",,냉장고,640 X 490 X 440,PO-SPHC,71.3(W) X 36(P) X 3.6T,31.85 X 31.85 X 5.5,PRO,1,PRO
TK22071,파인디엔씨,보람ENG,"자사 /
유주산업","(T-PJT)
 PANEL SIDE",,냉장고,1960 X 1200 X 630 (10~50),EGI,1343 X 888.4 X 0.6T,851 X 596.6 X 19.7,단발 5공정,5,"FO / NOTCH * PI / BU/NO * BE / RST *
CAM-BEND * BEND"
TK22072,기린,보람ENG,"자사 /
성원정밀","(27인치)
 FRAME REAR",,냉장고,"1660 X 1180 X 550 (10) 
 1660 X 980 X 550 (20)
1590 X 950 X 550 (30) 
  1400 X 1020 X 550 (40)
1400 X 1180 X 550 (50)",GI-SGCD,1150 X 920 X 1.0T,914.8 X 683.6 X 63.3,단발 5공정,5,DRAW * TR / FO / PI / BU * TR / BE / PI / BU  * HEMM * BEND
TK22073,기린,준송테크,자사,"(27인치)
 DUCT AIR",,냉장고,"1140 X 760 X 510 (10)
980 X 670 X 510 (20,30)
890 X 670 X 510 (40)",GI,510 X 400 X 0.5T,402 X 324 X 40.4,단발 4공정,4,"NOTCH * NOTCH / PI * NOTCH / BURR *
PIERC / BURR"
TK22074,기린,티피에스,두레테크,"(27인치)
 COVER BEARING",,냉장고,1370 X 650 X 480,GI,290(W) X 128(P) X 0.4T,100 X 110 X 23.5,PRO,1,PRO
TK22075,기린,"보람ENG /
자사",자사,UB1 PARTITION,,냉장고,"1550 X 940 X 650 (10)  1490 X 940 X 785 (20)
1520 X 940 X 650 (30)
1350 X 940 X 650 (40,50)
1490 X 940 X 650 (60)",GI-SGCD,1040 X 485 X 0.8T,971.8 X 268.9 X 184.9,단발 6공정,6,"                                                         DRAW * TR / PI / BU * TR / PI / BU * BEND *
HEM / BE / BU * BE / SLIU / BU / EMBO
"
TK22076,기린,보람ENG,"자사 /
YSJ",UB2 PARTITION,,냉장고,"1760 X 940 X 650 (10)  1700 X 940 X 765 (20)
1730 X 940 X 650 (30)
1560 X 940 X 650 (40,50)
1700 X 940 X 650 (60)


",GI-SGCD,1250 X 485 X 0.8T,1181.8 X 268.9 X 182.8,단발 6공정,6,"                                                         DRAW * TR / PI / BU * TR / PI / BU * BEND *
HEM / BE / BU * BE / SLIU / BU / EMBO
"
TK22077,기린,"보람ENG /
준송테크","자사 /
성원정밀",UB3 PARTITION,,냉장고,"1970 X 940 X 650 (10)  1910 X 940 X 765 (20)
1940 X 940 X 650 (30)
1770 X 940 X 650 (40,50)
1910 X 940 X 650 (60)",GI-SGCD,1460 X 485 X 0.8T,1391.8 X 268.9 X 182.8,단발 6공정,6,"                                                         DRAW * TR / PI / BU * TR / PI / BU * BEND *
HEM / BE / BU * BE / SLIU / BU / EMBO
"
TK22078,기린,준송테크,자사,PLATE DECO,,냉장고,1490 X 550 X 530,,,"560 X 193.5 X 15.2
560 X 245.5 X 15.2",단발 1공정,1,BURR
TK22079,기린,티피에스,자사,BRACKET COVER TOP,,냉장고,1090 X 870 X 520,GI-SGCC,464(W) X 63(P) X 2.0T,52.3 X 123.3 X 71,PRO,1,PRO
TK23001,기린,준송테크,자사,"(AW7000)
 CASE CONTROL-LOW",,냉장고,"1020 X 520 X 530 (10,20)
1040 X 530 X 530 (30) 
 980 X 450 X 530 (40)
910 X 380 X 530 (50)  860 X 400 X 530 (60)",GI,683 X 263.8 X 0.4T,545  X 140.4 X 60.3,단발 6공정,6,"NOTCH / PI * NOTCH / PI * UP- BEND *
HEMM * BEND * BEND"
TK23002,기린,YSJ,YSJ,"(AW7000) 
COVER CONTROL UP",,냉장고,850 X 500 X 440 (10~60),GI,579.4 X 186.3 X 0.4T ,549.4 X 143.4 X 15.4,단발 6공정,6,NOTCH / PI * BEND / FORM * HEMM / PIERC * BEND * BEND * BEND
TK23003,기린,티피에스,티피에스,"(AW7000)
 BRACKET CONTROL",,냉장고,780 X 440 X 440,GI,132(W) X 75(P) X 1.0T,65.5 X 26.3 X 5.0,PRO,1,PRO
TK23004,기린,티피에스,자사,"(27인치) 
COVER PCB",,냉동고,"2370 X 800 X 650 (10)
640 X 470 X 450 (20)
900 X 420 X 450 (30)",GI,394(W) X 234(P) X 0.4T,204.2 X 107.7 X 69.1,"SEMI PRO/
단발 2공정",3,SEMI PRO * BEND * TOX
TK23005,DIEMEX,준송테크,자사,"(D2UG) 
RETAINER ASM-BAT HOLDN(1)",,냉동고,980 X 900 X 580,GMW3032M-ST-S-340LA-HD60G60G-U,512(W) X 55(P) X 1.5T,214 X 40 X 57.4,PRO,1,PRO
TK23006,DIEMEX,준송테크,자사,"(D2UG) 
RETAINER ASM-BAT HOLDN(2)",,냉동고,1060 X 690 X 580,GMW3032M-ST-S-340LA-HD60G60G-U,278(W) X 65(P) X 1.0T,228 X 53 X 29,PRO,1,PRO
TK23007,DIEMEX,준송테크,자사,"(D2UG) 
RETAINER ASM-BAT HOLDN(3)",,냉동고,690 X 520 X 580,GMW3032M-ST-S-340LA-HD60G60G-U,70(W) X 54(P) X 1.0T,63 X 21 X 5,PRO,1,PRO
TK23008,다성,준송테크,자사,"(T1XX)
 BRACKET-TRANS FLUID CLR PIPE ",,김치냉장고,1120 X 530 X 580,GMW3032M-ST-S-CR340LA-HD60G60G-U,112(W) X 75(P) X 2.0T,52 X 58 X 50.2,PRO,1,PRO
TK23009,기린,티피에스,자사,"(RF6500) 
REINF HANGER",,김치냉장고,1210 X 610 X 450,"HGI-SGHC1  
",184(W) X 80(P) X 1.2T,97.8 X 32 X 13,PRO,1,PRO
TK23010,디엘통상,티피에스,탑텍비나,"(SW68)
LOWER CROSS PLATE",,김치냉장고,2260 X 1020 X 600,ST12/SPCC,606(W) X 203(P) X 1.2T,578 X 147.8 X 25,PRO,1,PRO
TK23011,디엘통상,보람ENG,자사,"(SW68)
CABINET FRONT (OP10)",,김치냉장고,1350 X 1150 X 590,ST12/SPCC,900 X 805 X 0.8T,703 X 595 X 85.1,단발 1공정,1,PI / CRAW
TK23012,디엘통상,티피에스,자사,"(SW68)
CROSS UPPER FRAME",,김치냉장고,2140 X 1300 X 600,ST12/SPCC,670(W) X 106(P) X 1.5T,581.8 X 76.2 X 21,PRO,1,PRO
TK23013,디엘통상,준송테크,자사,"(SW68)
DRUM REAR",,김치냉장고,"1280 X 900 X 480 (10)
1130 X 900 X 480 (20)
1000 X 780 X 480 (30)",SUS430,580 X 580 X 0.5T,507.4 X 507.4 X 62.5,단발 3공정,3,DRAW * TRIM / PI * BEDN / BURR
TK23014,기린,,,A1 COVER PBA,,김치냉장고,,,,,,,제번 삭제
TK23015,디엘통상,티피에스,티피에스,"(PRJ104) 
UPPER FRAME L R",,김치냉장고,1460 X 1060 X 600,ST13/SGCC,658(W) X 125(P) X 1.5T,614 X 52.5 X 40,PRO,1,PRO
TK23016,디엘통상,티피에스,탑텍비나,"(PRJ104) 
RIGHT BASE FRAME",,김치냉장고,2020 X 1140 X 600,ST13/SGCC,740(W) X 155(P) X 1.5T,612.5 X 110 X 70,PRO,1,PRO
TK23017,디엘통상,티피에스,탑텍비나,"(PRJ104) 
LEFT BASE FRAME",,김치냉장고,1900 X 1140 X 600,ST13/SGCC,740(W) X 145(P) X 1.5T,612.5 X 100 X 70,PRO,1,PRO
TK23018,디엘통상,티피에스,자사,"(PRJ104)
 LOWER CROSS PLATE",,김치냉장고,2100 X 1060 X 600,ST13/SGCC,645(W) X 214(P) X 1.0T,579 X 80 X 36,PRO,1,PRO
TK23019,디엘통상,준송테크,자사,"(PRJ104)
 UPPER CROSS PLATE",,김치냉장고,1710 X 1080 X 600,ST13/SGCC,675(W) X 105(P) X 1.0T,580 X 65 X 18.5,PRO,1,PRO
TK23020,디엘통상,준송테크,탑텍비나,"(PRJ104) 
UPPER CROSS PLATE UP",,김치냉장고,1805 X 1090 X 600,ST13/SGCC,682(W) X 86(P) X 1.5T,580 X 40 X 41,PRO,1,PRO
TK23021,디엘통상,보람ENG,자사,"(PRJ104)
 MOTOR PULLY",,김치냉장고,"940 X 740 X 480 (10,20,40)
980 X 740 X 480 (30)",SGCC,360 X 360 X 2.0T,303 X 303 X 32.9,단발 4공정,4,DRAW * RE-DRAW * PIER / TRIM * BEND
TK23022,디엘통상,준송테크,자사,"(PRJ104)
 DRUM REAR",,김치냉장고,"1320 X 900 X 480 (10)
 1130 X 900 X 480 (20)
1020 X 780 X 480 (30)",SUS 430,620 X 620 X 0.5T,527.6 X 527.6 X 68.6,단발 3공정,3,DRAW * TRIM / PI * BEDN / BURR
TK23023,디엘통상,"YSJ /
보람ENG",자사,"(PRJ104) 
DRUM FRONT",,김치냉장고," 1180 X 900 X 480 (10)
1100 X 840 X 480 (20,30)
1080 X 820 X 480 (40)",SUS 430,600 X 600 X 0.7T,528.4 X 528.4 X 31.5,단발 4공정,4,"DRAW / PI * PIER / REST * TRIM / BUR*
BEND / CURL"
TK23024,디엘통상,보람ENG,자사,"(PRJ104) 
FRONT FRAME",,김치냉장고," 1680 X 1180 X 700 (10)
 1680 X 1220 X 700 (20,30)
1680 X 1160 X 700 (40)  
1680 X 1200 X 700 (50)
 1680 X 1250 X 700 (60)", PCM/ST13,795 X 900 X 0.8T,593.9 X 751.5 X 50,단발 6공정,6,DR / FO / PI * FO / PI / NO / BU *NO / PI / CAM-PI / BE * BE / BU *BE / CURL * CAM-BE
TK23025,기린,준송테크,자사,"(DV5000H) 
GUIDE DUCT FAN",,김치냉장고," 840 X 815 X 520 (10)
 910 X 550 X 700 (20,30)
 780 X 540 X 700 (40)  720 X 520 X 700 (50)
 750 X 470 X 700 (60)  750 X 520 X 490 (70)",GI-SGCC,500 X 390(P) X  0.6T,418.14 X 258.4 X 153.7,단발 7공정,7,"                                                              BL * DRAW * RE / DRAW * TR / PI * 
TR / PI / BU * BU * HEM
"
TK23026,기린,티피에스,자사,"(DV5000H)
 COVER DUCT FAN",,김치냉장고," 815 X 840 X 520 (10)  910 X 550 X 700 (20)
 740 X 540 X 700 (30)  780 X 540 X 700 (40)
 720 X 530 X 700 (50)  690 X 520 X 700 (60)",GI-SGCC,500(W) X 375(P) X 0.6T,417 X 249 X 58.1,단발 6공정,6,"BL * DRAW * TR / PI / BU / EMBO * TR / PI *
BE * BE / BU / FORM"
TK23027,기린,YSJ,YSJ,"(DV5000H) 
DUCT OUTLET(F)",,김치냉장고,"1275 X 940 X 520 (10)
1150 X 900 X 700 (20)
1210 X 750 X 700 (30)
1200 X 900 X 700 (40)",GI-SGCC,753(W) X 570(P) X 0.35T,355.1 X 248.6 X 78.1,"SEMI PRO/
단발 3공정",4,"SEMI PRO * DRAW * NOTCH / FORM *
NOTCH / PIERC"
TK23028,기린,보람ENG,"자사 /
이주금형","(21kg) 
FRAME PLATE UP",,김치냉장고,"2760 X 1300 X 680 (10)
1000 X 450 X 680 (20,30)",GI-SGCD,780(W) X 300(P) X 1.4T,668 X 143 X 131,"SEMI PRO/
단발 2공정",3,"SEMI PRO * BEND / BURR / CUT *
BE / BU / PIER / MARK"
TK23029,기린,보람ENG,"자사 /
이주금형 /
티피에스","(LH) 
FRAME PLATE UPPER",,김치냉장고,"2880 X 1480 X 680 (10)
1100 X 450 X 480 (20)
1050 X 450 X 480 (30)",GI-SGCD,780(W) X 280(P) X 0.8T,666 X 142.2 X 131.4,"SEMI PRO/
단발 2공정",3,"SEMI PRO * BEND *
BE / BU / PIER / MARK"
TK23030,기린,준송테크,자사,"(LH) 
COVER PCB",,김치냉장고,2890 X 860 X 680,GI-SGCD ,420(W) X 255(P) X 0.6T,317 X 134 X 93.5,PRO,1,PRO
TK23031,다성,보람ENG,"자사 /
티피에스","(C234) 
855286891 ",,김치냉장고,"1000 X 880 X 680 (10)
 1080 X 740 X 570 (20)
1040 X 740 X 570 (30~60)
1120 X 740 X 570 (70)  
1060 X 740 X 570 (80)",GMW3032M-ST-S-340LA ,595 X 475 X 2.5T,470.9 X 339.2 X 71,단발 8공정,8,FO / CUT * TR / PI * TR / PI / BE * TR / BE * BEND * BEND * BE / CAM-RE * PI / CAM-PI
TK23032,다성,자사,자사,"(C234) 
855286891-BOK01580",,김치냉장고,660 X 520 X 570,GMW3032M-ST-S-340LA,100 X 68 X 2.5T,63.5 X 38.5 X 2.5,PRO,1,PRO
TK23033,기린,티피에스,자사,"(T-PRJ) 
COVER PBA-INVERTER",,김치냉장고,"2400 X 780 X 620 (10)
570 X 470 X 500 (20)
950 X 530 X 500 (30)",GI,384(W) X 329(P) X 0.4T,185.9 X 182.7 X 86.5,"SEMI PRO/
단발 2공정",3,SEMI PRO * BEND * TOX
TK23034,기린,준송테크,YSJ,"(T-PRJ) 
COVER PBA-MAIN",,김치냉장고,"2480 X 940 X 640 (10)
820 X 400 X 520 (20)
1120 X 450 X 540 (30)",GI,495(W) X 235(P) X 0.4T,302.5 X 91.8 X 71.2,"SEMI PRO/
단발 2공정",3,SEMI PRO * BEND * TOX
TK23035,기린,티피에스,티피에스,"(T-PRJ) 
COVER PBA-SUB",,김치냉장고,"2100 X 650 X 640 (10)
640 X 470 X 490 (20)
720 X 380 X 490 (30)",GI,256(W) X 228(P) X 0.4T,116.6 X 97.5 X 55,"SEMI PRO/
단발 2공정",3,SEMI PRO * BEND * 압착
TK23036,기린,비광테크,자사,"(T-PRJ) 
BRACKET FRONT",,건조기,2550 X 1200 X 700,GI,724(W) X 237(P) X 2.0T,668 X 153.6 X 72.2,PRO,1,PRO
TK23037,기린,티피에스,자사,"(LH)
 BRACKET FRAME REAR",,건조기,2000 X 1180 X 600,GI,772(W) X 112(P) X 1.2T,659 X 81.2 X 32.2,PRO,1,PRO
TK23038,기린,준송테크,자사,"(T-PRJ)
 PLATE COVER",,건조기,1105 X 440 X 450,GI,84(W) X 77.5(P) X 0.4T,52.4 X 55 X 8.5,PRO,1,PRO
TK23039,기린,자사,자사,"(DV7000R) 
BRACKET COVER TOP",,건조기,700 X 460 X 500,GI-SGCC,84(W) X 44(P) X 1.6T,37.7 X 20 X 20.3,PRO,1,PRO
TK23040,부일에스티,자사,자사,거더브라켓,,건조기,1000 X 600 X 669,POSMAX,268(W) X 98(P) X 4.0T,90 X 90 X 50,PRO,1,PRO
TK23041,부일에스티,자사,자사,상부브라켓,,건조기,1000 X 800 X 670,POSMAX,152(W) X 263(P) X 4.0T,255 X 100 X 8,PRO,1,PRO
TK23042,"한진
에프에이",티피에스,티피에스,김발피어싱금형,,건조기,850 X 560 X 310,,250(W) X 100(P) X 0.7T,,PRO,1,PRO
TK23043,디엘통상,준송테크,자사,HANDLE COSMETIC COVER,,건조기,1040 X 800 X 600,AISI 304,327(W) X 55(P) X 0.4T,286 X 33.9 X 13.2,PRO,1,PRO
TK23044,디엘통상,준송테크,자사,LOWER SPRAY ARM COSMETIC COVER,,건조기,1090 X 940 X 420,AISI 304,477(W) X 57(P) X 0.4T,435.8 X 37.3 X 9.5,PRO,1,PRO
TK23045,기린,자사,자사,"(T-PRJ) 
COVER PCB",,건조기,700 X 550 X 450,GI-SGCC,196(W) X 180(P) X 0.4T,173.8 X 178.3 X 0.4,PRO,1,PRO
TK23046,기린,티피에스,자사,"(A1) 
COVER PCB",,건조기," 2880 X 1180 X 680 (10)
 780 X 450 X 680 (20)
 1110 X 510 X 680 (30)",GI-SGCC,542(W) X 257(P) X 0.4T,341.8 X 106.3 X 74.7,"SEMI PRO/
단발 2공정",3,SEMI PRO * BEND * TOX
TK23047,기린,준송테크,자사,"(LH) 
BRACKET BOTTOM L/R",,건조기,1550 X 590 X 600,GI,140(W) X 88(P) X 3.0T,68 X 46.9 X 11.8,PRO,1,PRO
TK23048,기린,보람ENG,자사,ROTOR HOUSING,,건조기,1570 X 680 X 580,SECC,334(W) X 300(P) X 1.6T,282.2 X 282.2 X 13,PRO,1,PRO
TK24001,기린,,,T-PJT COVER PBA,,건조기,,,,,,,제번 삭제
TK24002,다성,,,"(C234)
 85043563_
BRACKET ASM-U/B RR AIR OTR DFL",,건조기,,,,,PRO,1,25년 이관
TK24003,다성,,,"(C234) 
85043566 , 85043567 _
BRACKET ASM-U/B RR AIR OTR DFL",,건조기,,,,,"SEMI PRO
단발 2/2공정",3+2,25년 이관
TK24004,다성,,,"(C234)
 85043568 , 85043569_ 
BRACKET ASM-U/B RR A/DFL",,건조기,,,,,PRO ,1,25년 이관
TK24005,다성,,,"(C234)
 85043570_
BRACKET ASM-U/B RR AIR RR DFL",,건조기,,,,,"SEMI PRO
단발 2공정",3,25년 이관
TK24006,다성,,,"(C234)
 85043564 , 85043565_
BRACKET ASM-U/B RR AIR RR DFL",,건조기,,,,,"SEMI PRO
단발 2/2공정",3+2,25년 이관
TK24007,다성,,,"(C234) 
85043571 , 85043572_
BRACKET ASM-U/B RR AIR RR DFL",,건조기,,,,,PRO,1,25년 이관
TK24008,다성,,,"(C234) 
85043562_
BRACKET ASM-U/B RR AIR RR DFL",,건조기,,,,,PRO,1,25년 이관
TK24009,다성,,,"(C234) 
85043561_
BRACKET ASM-U/B RR AIR RR DFL",,건조기,,,,,"SEMI PRO
단발1공정",2,25년 이관
TK24010,다성,,,BRACKET-HTR WAT AUX PUMP,,건조기,,,,,,,제번 삭제
TK24011,디엘통상,티피에스,자사,"(SR42) 
FRZ DOOR UPPER (OP10,OP20)",,건조기,"2300 X 1200 X 540 (20,30)",VCM,"953 X 617.7 X 0.8T
785 X 617.7 X 0.8T","   
923 X 390 X 95
757 X 390 X 95
",단발 2공정,2,NOTCH / PIERC * BEND
TK24012,디엘통상,티피에스,자사,"(SR42)
 REF DOOR UPPER LOWER
 (OP10,OP20)",,가스오븐,"2300 X 1200 X 540 (20,30)",VCM,"958 X 740 X 0.8T
790 X 740 X 0.8T","923 X 513 X 95
757 X 513 X 95",단발 2공정,2,NOTCH / PIERC * BEND
TK24013,기린,티피에스,자사,"(T-PJT)
 PEDESTAL FRAME",,가스렌지, 1760 X 1190 X 690 (10~50),GI,1391 X 788 X 0.5T,701 X 685.6 X 329,단발 5공정,5,FORM * NOTCH / PIERC * NO / PI / RE-ST / BE * CURL * BEND
TK24014,기린,티피에스,"자사/
티피에스","(27HP) 
FRAME REA
(OP10~OP30)",,가스렌지,"1500 X 1200 X 520 (10)
1500 X 1100 X 520 (20,30)",GI,1100 X 880 X 0.8T,920.5 X 683.6 X 76.3 ,단발 3공정,3,"DRAW * N0TCH / PIERC * 
NO / PI / LO-BU &/ BE"
TK24015,기린,,,PLATE OIL ,,가스렌지,,,,,,,제번 삭제
TK24016,기린,,,STOPPER VALVE,,가스렌지,,,,,,,제번 삭제
TK24017,디엘통상,티피에스,자사,"(SR38)
 DOOR PLATE FRZ(OP10,OP20)",,가스렌지,"2300 X 1200 X 540 (10,20)",VCM,1765 X 497.2 X 0.7T,1735 X 371 X 95,단발 2공정,2,NO / PI * BE / BU
TK24018,디엘통상,티피에스,자사,"(SR38)
 DOOR PLATE REF(OP10,OP20)",,가스렌지,"2300 X 1200 X 540 (10,20)",VCM,1772 X 716 X 0.7T,1735 X 513 X 95,단발 2공정,2,NO / PIER * BEND
TK24019,다성,보람ENG,RTM,"(T1XX2 1884) 85574952, 53 REINFORCEMENT-FRT S/D HGE (DR SI)",,가스렌지,"3040 X 870 X 720 (05)
700 X 460 X 570(대칭) (10,20)","GMW15192M-AL-S
6000-S-90-U",410(W) X 195(P) X 2.0T,159.8 X 154.8 X 51.4,"SEMI PRO/
단발 2공정",3,"                                                          SEMI PRO * PI / C-PI(대칭)
"
TK24020,다성,보람ENG,RTM,"(T1XX2 1884) 85574954, 55 REINFORCEMENT-FRTS/DLWRHGE(DR SI)",,가스렌지,"810 X 880 X 580 (05)
920 X 590 X 560 (10~30)
780 X 500 X 570 (40)  
920 X 460 X 570 (50)","GMW15192M-AL-S
6000-S-90-U",493(W) X 201(P) X 2.0T,224.5 X 130.9 X 112.6,"SEMI PRO/
단발 5공정",6,BL / PI * FO / FL * FL * REST * SEP / PI * PI
TK24021,다성,보람ENG,자사,"(T1XX2 1884) 85574956, 57  REINFORCEMENT-FRT S/D CHK LINK",,가스렌지,"2980 X 940 X 740 (05)
700 X 480 X 560(대칭) (10,40)
700 X 480 X 560(대칭) (20,50)
700 X 580 X 570(대칭) (30,60)","GMW15192M-AL-S
6000-S-90-U", 493(W) X 230(P) X 2.5T,208.0 X 132.8 X 113.9,"SEMI PRO/
단발 6공정",7,"SEMI PRO * FO / FL(대칭) * FL / REST(대칭) *
PI / C-PI(대칭)"
TK24022,다성,준송테크,자사,"(T1XX2 1884) 85574958, 59 REINFORCEMENT-FRT S/D INR PNL LAT",,가스렌지,1700 X 840 X 680,"GMW15192M-AL-S
6000-S-90-U",385(W) X 140(P) X 1.0T,137.9 X 113.5 X 68.2,PRO,1,PRO
TK24023,다성,,,85575014_15_REINFORCEMENT-RR S/D LWR HGE,,TV,,,,,,,다이맥스 제작
TK24024,다성,보람ENG,RTM,"(T1XX2 1884) 85575016, 17  
(87824270) REINFORCEMENT-RRS/D HGE ",,TV,"2970 X 920 X 720 (05)
700 X 580 X 570(대칭) (10,20)","GMW15192M-AL-S
6000-S-90-U",480(W) X 220(P) X 2.0T,205.4 X 154.8 X 100.0,"SEMI PRO/ 
단발 2공정",3,"SEMI PRO * PI / C-PI(대칭)
"
TK24025,다성,준송테크,자사,"(T1XX2 1884) 85575018, 19 
(87824274) REINFORCEMENT-RRS/DINRPNLLAT",,TV,1700 X 840 X 680,"GMW15192M-AL-S
6000-S-90-U",385(W) X 140(P) X 1.0T,132.6 X 113.8 X 67.1,PRO,1,PRO
TK24026,다성,준송테크,자사,"(T1XX2 0207) 
84428988
BRACKET ASM-BODY JK STOW",,TV,870 X 520 X 580,"GMW3032M-ST-S
CR180B2-UNCOATED-U",110(W) X 60(P) X 1.5T,46.3 X 98.1 X 10.5,PRO,1,PRO
TK24027,다성,보람ENG,자사,"(T1XX2 0207) 
84407003
BRACKET ASM-FRT W_H LWR RR PNL",,TV,"2120 X 880 X 740 (05)
900 X 660 X 560 (10,30,40)
900 X 560 X 570 (20)"," GMW3032M-ST-S
CR180B2-HD60G60G-U",405(W) X 202(P) X 0.8T,341.3 X 199.8 X 99.9,"SEMI PRO/
단발 4공정",5,"SEMI PRO * BEND(UP) * PI / C-PI *
BURR / REST * C-BE"
TK24028,다성,RTM,RTM,"(T1XX2 0207) 23380293, 94
EXTENSION-DA PNL SI",,TV,1650 X 700 X 680,"GMW2M-ST-S-CR3
UNCOATED-U",275(W) X 155(P) X 0.8T,"53.1 X 226.8 X 22.8
53.8 X 224.7 X 21.4",PRO,1,PRO
TK24029,다성,보람ENG,자사,"(T1XX2 0207) 
23380297
BRACKET-DA PNL",,TV,1860 X 820 X 680,"GMW2M-ST-S-CR3
UNCOATED-U",388(W) X 125(P) X 0.65T,96.4 X 164.5 X 24.8,PRO,1,PRO
